,features,coef
144,cit_Brea,-0.0006581659954657545
145,cit_Brentwood,0.0
146,cit_Bridgeport,-0.0022127534827962743
147,cit_Bridgeville,0.0028699210650246928
148,cit_Brisbane,0.0
149,cit_Brookdale,-1.557606519910304e-05
150,cit_Brooks,-0.005853083487650396
151,cit_Browns Valley,-0.17666333403869078
152,cit_Brownsville,0.0
153,cit_Buellton,0.0
154,cit_Buena Park,-0.0017572372203641467
155,cit_Burbank,-0.0651374676919918
156,cit_Burlingame,0.0
157,cit_Burney,-7.81869006272186e-06
158,cit_Burnt Ranch,0.0003992122940576129
159,cit_Burson,-0.00015371508655010068
160,cit_Butte City,-0.00242954588470937
161,cit_Buttonwillow,-0.00014677863100509404
162,cit_Byron,0.0014021857642803406
163,cit_Cabazon,-0.07896508752730035
164,cit_Calabasas,-0.001674120391648314
165,cit_Calexico,-0.005875667355528105
166,cit_Caliente,-0.11717536442125485
167,cit_California City,0.0
168,cit_California Hot Springs,0.0
169,cit_Calimesa,0.0036345137152061554
170,cit_Calipatria,-0.00012618276590537622
171,cit_Calistoga,0.0
172,cit_Callahan,-0.0020269445302328448
173,cit_Calpine,-3.4928918701530775e-06
174,cit_Camarillo,0.009797216554473867
175,cit_Cambria,0.0
176,cit_Camino,0.11861031197026332
177,cit_Camp Nelson,0.0
178,cit_Campbell,-0.020550507012399216
179,cit_Campo,-0.024646232524448284
180,cit_Campo Seco,0.0
181,cit_Camptonville,-0.009444167849659964
182,cit_Canby,0.0
183,cit_Canoga Park,0.0
184,cit_Cantua Creek,-0.004186161898382578
185,cit_Canyon Country,0.0
186,cit_Canyon Dam,7.995459027324779e-05
187,cit_Capay,-0.003055331895472211
188,cit_Capistrano Beach,0.0
189,cit_Capitola,-0.020219430205902344
190,cit_Cardiff By The Sea,0.0
191,cit_Carlotta,-0.00019721017634936506
192,cit_Carlsbad,-0.00021011512293378485
193,cit_Carmel,-0.007341866750747908
194,cit_Carmel By The Sea,-0.0011952245988067515
195,cit_Carmel Valley,-0.00031353338172302836
196,cit_Carmichael,0.0
197,cit_Carnelian Bay,0.0
198,cit_Carpinteria,0.0
199,cit_Carson,0.0021228692082421474
200,cit_Caruthers,0.0
201,cit_Casmalia,-0.0017383090981317993
202,cit_Caspar,-0.1349155905295288
203,cit_Cassel,0.01223918007875857
204,cit_Castaic,-0.00488106406045408
205,cit_Castella,0.0
206,cit_Castro Valley,-0.046785660395965434
207,cit_Castroville,0.0
208,cit_Cathedral City,-0.0003483657939423666
209,cit_Catheys Valley,-0.039187401956614486
210,cit_Cayucos,-0.001977888155285774
211,cit_Cazadero,0.0
212,cit_Cedar Glen,-0.0006996102427984294
213,cit_Cedarville,-0.00044470290797510553
214,cit_Ceres,0.0
215,cit_Cerritos,-0.004402050411211441
216,cit_Challenge,0.0075321564414476605
217,cit_Chatsworth,0.0
218,cit_Chester,0.0
219,cit_Chico,-0.0014959427461504523
220,cit_Chilcoot,-0.0002682604813772544
221,cit_Chino,0.0
222,cit_Chino Hills,-0.0006698783896500866
223,cit_Chowchilla,-0.0247638679719919
224,cit_Chualar,0.0
225,cit_Chula Vista,-0.02280318653289442
226,cit_Citrus Heights,-0.020504248756254537
227,cit_Claremont,0.016132268290095293
228,cit_Clarksburg,0.0
229,cit_Clayton,0.00081667974874412
230,cit_Clearlake,0.004675650214341156
231,cit_Clearlake Oaks,0.0
232,cit_Clements,-0.0004955122736172297
233,cit_Clio,0.0
234,cit_Clipper Mills,0.0
235,cit_Cloverdale,-0.00010286655803354391
236,cit_Clovis,0.11225799342683368
237,cit_Coachella,-0.0014471114365733851
238,cit_Coalinga,0.0
239,cit_Coarsegold,-0.004781417369371361
240,cit_Cobb,0.005873926948094305
241,cit_Coleville,0.0
242,cit_Colfax,-0.04271868915383631
243,cit_Colton,-0.0004558853324021039
244,cit_Columbia,0.0
245,cit_Colusa,0.0
246,cit_Comptche,0.0015140522613484415
247,cit_Compton,-0.028604809969516237
248,cit_Concord,-0.02026264770992817
249,cit_Cool,0.0
250,cit_Copperopolis,-0.00011264082526213469
251,cit_Corcoran,-0.00015275160780936123
252,cit_Corning,0.01035025538383852
253,cit_Corona,-0.14815207680204026
254,cit_Corona Del Mar,0.07415359103937541
255,cit_Coronado,-0.0003772186533864254
256,cit_Corte Madera,0.00045644929300113675
257,cit_Costa Mesa,0.005566207261726399
258,cit_Cotati,0.0
259,cit_Cottonwood,-0.00011445995691395818
260,cit_Coulterville,0.0
261,cit_Courtland,-0.04234306803219011
262,cit_Covelo,-0.0038170045180334184
263,cit_Covina,-0.01599920115444364
264,cit_Crescent City,-0.0022181413166811165
265,cit_Crescent Mills,-0.00029721447337661597
266,cit_Cressey,-0.028756981864028065
267,cit_Crestline,0.004517968428772119
268,cit_Creston,0.0
269,cit_Crockett,0.0
270,cit_Crows Landing,0.0
271,cit_Culver City,0.00012519413920879862
272,cit_Cupertino,0.0
273,cit_Cutler,0.004520141911138221
274,cit_Cypress,-0.009846634217517462
275,cit_Daggett,0.0011863876407739228
276,cit_Daly City,0.0001692470306333829
277,cit_Dana Point,0.0
278,cit_Danville,-0.0015000774991966357
279,cit_Darwin,-0.0004758784238000128
280,cit_Davenport,0.0
281,cit_Davis,0.00044578734437557906
282,cit_Davis Creek,-0.0020219222374111157
283,cit_Death Valley,-0.004776967179496315
284,cit_Deer Park,0.01540983380095265
285,cit_Del Mar,-0.0022978347768736604
286,cit_Del Rey,0.0
287,cit_Delano,0.009690323068035382
288,cit_Delhi,0.0
289,cit_Denair,0.0
290,cit_Descanso,-0.000785871222428944
291,cit_Desert Center,0.0
292,cit_Desert Hot Springs,-0.012583539284584682
293,cit_Diamond Bar,-0.00014532165538127644
294,cit_Diamond Springs,0.0007796833007737116
295,cit_Dillon Beach,0.0
296,cit_Dinuba,0.0
297,cit_Dixon,0.0
298,cit_Dobbins,0.0
299,cit_Dorris,0.0
300,cit_Dos Palos,0.0
301,cit_Dos Rios,-0.00046430132507068063
302,cit_Douglas City,0.001332748870627638
303,cit_Downey,-0.0028852016715222003
304,cit_Downieville,0.0
305,cit_Doyle,0.0
306,cit_Duarte,-0.002781201838298316
307,cit_Dublin,0.0
308,cit_Ducor,-0.1539817490126938
309,cit_Dulzura,-0.0011493620843567602
310,cit_Duncans Mills,-0.0032100234918935036
311,cit_Dunlap,0.0
312,cit_Dunnigan,0.0
313,cit_Dunsmuir,-0.014981078416449422
314,cit_Durham,0.0
315,cit_Dutch Flat,0.0005145254482464472
316,cit_Eagleville,0.0
317,cit_Earlimart,-0.008865894922070322
318,cit_Earp,-5.4233469448856766e-06
319,cit_Echo Lake,0.0
320,cit_Edwards,0.0
321,cit_El Cajon,-0.0004203186601154384
322,cit_El Centro,-0.006917570642308274
323,cit_El Cerrito,-9.101742218296762e-05
